"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2195","TC05 - Invalid email (missing @)","chromium","2026-03-30","passed","2026-03-30","Register Module - Validation + Functional","register.spec.js","",""
"","65","API payment processing without authentication shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","3644","TC12 - Image is displayed in cart item","firefox","2026-03-30","passed","2026-03-30","Cart Module - Functional Tests","cart.spec.js","",""
"","4254","TC14 - Direct visit home URL after login","webkit","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","2457","TC11 - Reload page keeps session","chromium","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","1736","TC09 - Wrong credentials","firefox","2026-03-30","passed","2026-03-30","Login Module - PulseBook","login.spec.js","",""
"","4109","TC17 - Booking history navigates","webkit","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","62","API booking history retrieval without authentication shows error","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2574","TC01 - Add first DJ to cart","chromium","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","7249","TC10 - Cart navigation works from header","webkit","2026-03-30","passed","2026-03-30","Cart Module - Functional Tests","cart.spec.js","",""
"","1185","Create session and save login state","chromium","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","8676","TC12 - Payment Button Disabled State Check","webkit","2026-03-30","passed","2026-03-30","Payment Module","payment.spec.js","",""
"","4070","TC18 - Add to cart button visible after scroll up/down","webkit","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","2047","TC03 - History UI visible","chromium","2026-03-30","passed","2026-03-30","History Module","history.spec.js","",""
"","2711","TC13 - Email with spaces","firefox","2026-03-30","failed","2026-03-30","Login Module - PulseBook","login.spec.js","",""
"","4411","TC15 - Booking with max number of DJs","chromium","2026-03-30","passed","2026-03-30","Booking Module - PulseBook Full Tests","booking.spec.js","",""
"","1890","TC01 - History Page Loads","firefox","2026-03-30","passed","2026-03-30","History Module","history.spec.js","",""
"","3465","TC02 - Multiple items can be added and shown","firefox","2026-03-30","passed","2026-03-30","Cart Module - Functional Tests","cart.spec.js","",""
"","823","get started link","chromium","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","1707","API payment processing after booking","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2909","TC02 - Add multiple DJs to cart","chromium","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
"","4539","TC08 - PayPal Select UI Check","firefox","2026-03-30","passed","2026-03-30","Payment Module","payment.spec.js","",""
"","3504","TC10 - History persists after refresh","webkit","2026-03-30","passed","2026-03-30","History Module","history.spec.js","",""
"","3208","TC14 - Direct visit home URL after login","firefox","2026-03-30","passed","2026-03-30","Discover/Home Page - Functional Tests","home.spec.js","",""
